Track;MK_support
Advanced AI;Matriks dan Ruang Vektor
Advanced AI;Kalkulus IIB
Advanced AI;Probabilitas dan Statistika A
Advanced AI;Pembelajaran Mesin
Advanced AI;Kecerdasan Buatan
IOT;Desain dan Analisis Algoritma
IOT;Teori Bahasa dan Automata
IOT;Dasar Pemodelan dan Simulasi
IOT;Matematika Diskrit A
IOT;Interaksi Manusia dan Komputer A
Modelling and Simulation;Logika Matematika A
Modelling and Simulation;Sistem Digital
Modelling and Simulation;Organisasi dan Arsitektur Komputer
Modelling and Simulation;Jaringan Komputer
Modelling and Simulation;Sistem Paralel dan Terdistribusi
